barrage,follow,name,play,tags
3151000,5019000,冰菓,75690000,"恋爱,推理,校园,日常"
11476000,7721000,Re：从零开始的异世界生活,220000000,"奇幻,小说改,架空,穿越"
1032000,6951000,刀剑神域 爱丽丝篇 异界战争,85095000,"小说改,穿越,科幻,架空"
2974000,6117000,紫罗兰永恒花园,110000000,"治愈,励志,职场,催泪"
1307000,7721000,Re：从零开始的异世界生活 新编集版,57218000,"穿越,奇幻,魔法,架空"
3583000,6077000,青春猪头少年不会梦到兔女郎学姐,150000000,"小说改,恋爱,奇幻,校园"
2422000,6525000,某科学的超电磁炮T,160000000,"漫画改,战斗,科幻,校园"
434000,6117000,紫罗兰永恒花园外传：永远与自动手记人偶,20327000,"剧情,动画,小说改"
1080000,5544000,我的青春恋爱物语果然有问题。完,57298000,"校园,恋爱,小说改"
4225000,6004000,关于我转生变成史莱姆这档事,280000000,"小说改,奇幻,战斗,魔法"
4447000,7317000,辉夜大小姐想让我告白～天才们的恋爱头脑战～,210000000,"恋爱,校园,智斗,日常"
1494000,6951000,刀剑神域 爱丽丝篇 异界战争 -终章-,77767000,"小说改,穿越,架空,科幻"
4242000,6277000,欢迎来到实力至上主义的教室,190000000,"小说改,校园"
9048000,6410000,埃罗芒阿老师,190000000,"小说改,搞笑,恋爱"
5264000,6207000,小林家的龙女仆,229999999,"萌系,搞笑,日常,漫画改"
3403000,7317000,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,160000000,"搞笑,校园,恋爱,漫画改"
4156000,6956000,工作细胞,180000000,"搞笑,战斗,日常,声控"
1682000,7721000,Re：从零开始的异世界生活 第二季,93856000,"小说改,穿越,奇幻"
112000,8942000,鬼灭之刃（中配）,13479000,"漫画改,热血,战斗,励志"
8285000,8942000,鬼灭之刃,530000000,"漫画改,战斗,热血,声控"
4474000,4471000,四月是你的谎言,130000000,"少女,音乐,催泪,恋爱"
1585000,4356000,命运-冠位指定 绝对魔兽战线 巴比伦尼亚,130000000,"游戏改,奇幻,战斗,冒险"
223000,4045000,路人女主的养成方法 Fine,5939000,"小说改,恋爱,社团"
1852000,4808000,JOJO的奇妙冒险,71096000,"漫画改,战斗,奇幻,冒险"
5976000,6467000,干物妹！小埋,150000000,"萌系,日常"
