barrage,fllow,name,play,tags
315.1万,501.9万,冰菓,7569万,"恋爱,推理,校园,日常"
297.4万,611.7万,紫罗兰永恒花园,1.1亿,"治愈,励志,职场,催泪"
1147.6万,772.1万,Re：从零开始的异世界生活,2.2亿,"奇幻,小说改,架空,穿越"
130.7万,772.1万,Re：从零开始的异世界生活 新编集版,5721.8万,"穿越,奇幻,魔法,架空"
43.4万,611.7万,紫罗兰永恒花园外传：永远与自动手记人偶,2032.7万,"剧情,动画,小说改"
242.2万,652.5万,某科学的超电磁炮T,1.6亿,"漫画改,战斗,科幻,校园"
103.2万,695.1万,刀剑神域 爱丽丝篇 异界战争,8509.5万,"小说改,穿越,科幻,架空"
108万,554.4万,我的青春恋爱物语果然有问题。完,5729.8万,"校园,恋爱,小说改"
358.3万,607.7万,青春猪头少年不会梦到兔女郎学姐,1.5亿,"小说改,恋爱,奇幻,校园"
422.5万,600.4万,关于我转生变成史莱姆这档事,2.8亿,"小说改,奇幻,战斗,魔法"
444.7万,731.7万,辉夜大小姐想让我告白～天才们的恋爱头脑战～,2.1亿,"恋爱,校园,智斗,日常"
424.2万,627.7万,欢迎来到实力至上主义的教室,1.9亿,"小说改,校园"
149.4万,695.1万,刀剑神域 爱丽丝篇 异界战争 -终章-,7776.7万,"小说改,穿越,架空,科幻"
526.4万,620.7万,小林家的龙女仆,2.3亿,"萌系,搞笑,日常,漫画改"
904.8万,641万,埃罗芒阿老师,1.9亿,"小说改,搞笑,恋爱"
415.6万,695.6万,工作细胞,1.8亿,"搞笑,战斗,日常,声控"
340.3万,731.7万,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,1.6亿,"搞笑,校园,恋爱,漫画改"
168.2万,772.1万,Re：从零开始的异世界生活 第二季,9385.6万,"小说改,穿越,奇幻"
11.2万,894.2万,鬼灭之刃（中配）,1347.9万,"漫画改,热血,战斗,励志"
828.5万,894.2万,鬼灭之刃,5.3亿,"漫画改,战斗,热血,声控"
22.3万,404.5万,路人女主的养成方法 Fine,593.9万,"小说改,恋爱,社团"
158.5万,435.6万,命运-冠位指定 绝对魔兽战线 巴比伦尼亚,1.3亿,"游戏改,奇幻,战斗,冒险"
304.2万,695.1万,刀剑神域 Alicization,1.6亿,"小说改,热血,奇幻,战斗"
447.4万,447.1万,四月是你的谎言,1.3亿,"少女,音乐,催泪,恋爱"
185.2万,480.8万,JOJO的奇妙冒险,7109.6万,"漫画改,战斗,奇幻,冒险"
597.6万,646.7万,干物妹！小埋,1.5亿,"萌系,日常"
134.7万,420.4万,这个勇者明明超强却过分慎重,1.3亿,"小说改,穿越,奇幻,战斗"
5.3万,430.5万,约战狂三外传：虚或实篇,584.5万,"小说改,战斗,校园"
606.8万,652.5万,某科学的超电磁炮,9808.5万,"校园,战斗,奇幻,漫画改"
349万,803.1万,OVERLORD,2.9亿,"奇幻,战斗,小说改,架空"
318.6万,461.2万,Angels of Death,1.1亿,"恋爱,游戏改,冒险"
98.9万,607.7万,青春猪头少年不会梦到怀梦美少女,1539.9万,"小说改,穿越,奇幻,校园"
286.9万,459.8万,因为太怕痛就全点防御力了,1.6亿,"小说改,穿越,奇幻,萌系"
354.4万,646.7万,干物妹！小埋R,1.2亿,"萌系,搞笑,日常,漫画改"
371.2万,803.1万,OVERLORD Ⅱ,2.7亿,"小说改,奇幻,战斗,魔法"
277.5万,469.1万,徒然喜欢你,1.2亿,"恋爱,校园,漫画改,搞笑"
358.5万,803.1万,OVERLORD Ⅲ,2.9亿,"小说改,奇幻,智斗,战斗"
20.7万,772.1万,Re：从零开始的异世界生活 Memory Snow(雪之回忆),931.3万,"小说改,穿越,奇幻,日常"
9.8万,772.1万,Re：从零开始的异世界生活 冰结之绊,1100.9万,"小说改,奇幻,战斗"
304.5万,498.6万,在下坂本，有何贵干？,1.8亿,"搞笑,校园,日常"
3.2万,347.8万,食戟之灵 餐之皿,279.2万,"校园,美食,搞笑,热血"
220.7万,362.8万,我们仍未知道那天所看见的花的名字。,3715.7万,"日常,治愈,催泪,原创"
289.7万,404.5万,路人女主的养成方法,1.1亿,"恋爱,小说改"
202.5万,340.9万,五等分的新娘,8592.8万,"恋爱,校园,日常,漫画改"
347.4万,344.4万,龙王的工作！,9279.3万,"小说改,职场"
163.5万,480.8万,JOJO的奇妙冒险 星尘远征军 埃及篇,4675.5万,"漫画改,战斗,奇幻,冒险"
160.3万,386.9万,NO GAME NO LIFE 游戏人生,5349.2万,"奇幻,智斗,架空,穿越"
23.6万,404.5万,路人女主的养成方法 ?,1424.1万,"小说改,恋爱,校园,社团"
17万,418.5万,齐木楠雄的灾难 始动篇,2081.4万,"漫画改,奇幻,日常,搞笑"
127.5万,362.4万,虚构推理,7647.6万,"漫画改,神魔,恋爱,奇幻"
168.1万,480.8万,JOJO的奇妙冒险  星尘远征军,5274.4万,"漫画改,奇幻,战斗,冒险"
341.1万,378万,盾之勇者成名录,1.9亿,"小说改,奇幻,魔法,架空"
491.4万,486.5万,Fate/stay night [Unlimited Blade Works] 第一季,1.5亿,"奇幻,热血"
215.8万,375.1万,Charlotte,1.2亿,"日常,校园,奇幻,催泪"
145.1万,377万,异度侵入 ID:INVADED,9966.9万,"原创,科幻,推理"
255.3万,554.4万,我的青春恋爱物语果然有问题。,5976.6万,"日常,校园,智斗,恋爱"
348.8万,384.9万,Fate/Apocrypha,1.3亿,"热血,战斗"
126.8万,385.7万,多罗罗,1.5亿,"热血,战斗,冒险"
365.5万,480.8万,JOJO的奇妙冒险 黄金之风,3.2亿,"热血,智斗,战斗,漫画改"
32.3万,486.5万,命运之夜——天之杯II ：迷失之蝶,1447.7万,"剧情,奇幻,动画"
146.5万,477.4万,魔法禁书目录 第三季,8875.7万,"小说改,热血,科幻,奇幻"
129.3万,394.3万,路人超能100(灵能百分百),8752.6万,"热血,奇幻,战斗"
133.6万,288.6万,宝石之国,5951.3万,"战斗,架空,励志,催泪"
187.9万,285.9万,天使降临到我身边,5769.9万,"日常,治愈,漫画改,萌系"
95.7万,284.8万,动物狂想曲 / BEASTARS,6240.9万,"漫画改,奇幻,恋爱,校园"
73.1万,282.1万,约定的梦幻岛,5255.2万,"热血,智斗,励志,漫画改"
311.4万,289.7万,月色真美,5353.2万,"恋爱,校园,原创,治愈"
297万,296.8万,罪恶王冠,5087.4万,"奇幻,战斗,热血,原创"
58.8万,289.3万,月刊少女野崎君,2558.7万,"搞笑,校园,少女,漫画改"
31.9万,386.9万,游戏人生 零,1277.6万,"爱情,奇幻,动画"
108万,308万,卫宫家今天的饭,6615.2万,"日常,美食"
135.6万,330.3万,境界的彼方,3213万,"恋爱,奇幻,战斗"
359.3万,477.4万,魔法禁书目录 第一季,6158.8万,"科幻,校园,战斗,热血"
236.1万,317.3万,樱花庄的宠物女孩,3145.5万,"校园,催泪,恋爱,小说改"
23.4万,395.4万,中二病也要谈恋爱！,953.5万,"恋爱,校园,小说改,搞笑"
3万,394.3万,路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,316.2万,"热血,奇幻,战斗,漫画改"
158.2万,315万,地缚少年花子君,6133.8万,"漫画改,搞笑,少女,奇幻"
345.2万,335.4万,Fate/Zero 第一季,7936.3万,"时泪,奇幻,战斗,热血"
